english_name,chinese_name,source_filename,pack_filename
Ace of Cups,圣杯一,圣杯之光与圣灵.png,Ace_of_Cups_圣杯一.png
Two of Cups,圣杯二,和谐的仪式盛举.png,Two_of_Cups_圣杯二.png
Three of Cups,圣杯三,三位女士的庆祝敬酒.png,Three_of_Cups_圣杯三.png
Four of Cups,圣杯四,静谧的沉思时刻.png,Four_of_Cups_圣杯四.png
Five of Cups,圣杯五,孤独与倒覆的金杯.png,Five_of_Cups_圣杯五.png
Six of Cups,圣杯六,温暖的村落庭院与童真.png,Six_of_Cups_圣杯六.png
Seven of Cups,圣杯七,黄金杯中的奇幻景象.png,Seven_of_Cups_圣杯七.png
Eight of Cups,圣杯八,月光下的孤独旅者.png,Eight_of_Cups_圣杯八.png
Nine of Cups,圣杯九,温馨的中世纪花园庭院.png,Nine_of_Cups_圣杯九.png
Ten of Cups,圣杯十,彩虹下的幸福家庭.png,Ten_of_Cups_圣杯十.png
Page of Cups,圣杯侍从,静谧湖畔与金色杯中鱼.png,Page_of_Cups_圣杯侍从.png
Knight of Cups,圣杯骑士,骑士与圣杯的宁静旅程.png,Knight_of_Cups_圣杯骑士.png
Queen of Cups,圣杯王后,海边的女神与圣杯.png,Queen_of_Cups_圣杯王后.png
King of Cups,圣杯国王,海滨王者的宁静肖像.png,King_of_Cups_圣杯国王.png
